xpath,frequency,uniques
/dictionary/body/p/vmorph/pr/it/,38,22
/dictionary/body/p/cs/note/au/,10,10
/dictionary/body/p/cs/mcol/altname/,6,4
/dictionary/body/p/hypen/,2,2
/dictionary/body/p/bio/note/br/,1,1
/dictionary/body/p/altname/colf/,1,1
/dictionary/body/p/cs/cd/altname/er/,3,3
/dictionary/body/p/note/mcol/col/b/,24,24
/dictionary/body/p/cs/cd/pr/,2,2
/dictionary/body/p/def/styp/spn/,7,7
/dictionary/body/p/comm/,1,1
/dictionary/body/p/syn/person/,7,7
/dictionary/body/p/mhw/pr/it/,144,61
/dictionary/body/p/cs/cd/fld/,76,53
/dictionary/body/p/def/altname/sub/,6,4
/dictionary/body/p/def2/,907,11
/dictionary/body/p/def2/def/as/it/,2,2
/dictionary/body/p/def/as/it/,222,111
/dictionary/body/p/cs/see/pos/,8,5
/dictionary/body/p/amorph/xex/,14,12
/dictionary/body/p/note/ety/grk/,2,2
/dictionary/body/p/subtypes/cd/xex/,6,5
/dictionary/body/p/def/usedby/,5,5
/dictionary/body/p/note/subtypes/pbr/,6,6
/dictionary/body/p/table/point6/,1,1
/dictionary/body/p/cs/table/centered/,1,1
/dictionary/body/p/cs/cd/mathex/ratio/,4,4
/dictionary/body/p/usage/q/br/,17,16
/dictionary/body/p/note/etsep/,10,9
/dictionary/body/p/def/altname/cref/,2,2
/dictionary/body/p/q/qpers/,4,4
/dictionary/body/p/ety/person/,155,97
/dictionary/body/p/usage/rj/au/,13,9
/dictionary/body/p/cs/note/chreact/,2,2
/dictionary/body/p/def/causedbyp/,1,1
/dictionary/body/p/def/styp/gen/,4,4
/dictionary/body/p/def/as/col/,3,2
/dictionary/body/p/ety/sn/,6,5
/dictionary/body/p/pos/altsp/asp/,2,2
/dictionary/body/p/cd/altname/,8,8
/dictionary/body/p/cs/pr/i/,2,2
/dictionary/body/p/vmorph/usage/,2,2
/dictionary/body/p/def/abbr/sc/,1,1
/dictionary/body/p/note/musfig/,14,11
/dictionary/body/p/def/as/org/,8,8
/dictionary/body/p/note/isa/,10,10
/dictionary/body/p/ety/pluf/,2,2
/dictionary/body/p/cs/cd/prodby/,11,10
/dictionary/body/p/def/funct/sups/,1,1
/dictionary/body/p/def/pr/xex/,1,1
/dictionary/body/p/note/bold/xex/,2,2
/dictionary/body/p/def/spn/plain/,4,3
/dictionary/body/p/def/as/city/,2,2
/dictionary/body/p/def/note/singw/,1,1
/dictionary/body/p/def/as/film/,2,2
/dictionary/body/p/illu/spn/,2,2
/dictionary/body/p/rj/,5845,3762
/dictionary/body/p/contr/,5,5
/dictionary/body/p/bio/person/b/,1,1
/dictionary/body/p/def/as/pos/,8,4
/dictionary/body/p/nmorph/decf/,38,23
/dictionary/body/p/bio/edi/,4,4
/dictionary/body/p/vmorph/au/,2,2
/dictionary/body/p/sing/,135,7
/dictionary/body/p/note/fld/,8,8
/dictionary/body/p/def/as/ecol/,2,2
/dictionary/body/p/table/point1/,1,1
/dictionary/body/p/ety/org/,2,2
/dictionary/body/p/ety/corpn/,2,2
/dictionary/body/p/cs/cd/examp/,18,15
/dictionary/body/p/cs/cd/prod/,20,20
/dictionary/body/p/altsp/abbr/,10,9
/dictionary/body/p/syn/spn/,603,546
/dictionary/body/p/def/styp/ecol/b/,15,15
/dictionary/body/p/see/xex/,4,4
/dictionary/body/p/def2/see/,1,1
/dictionary/body/p/def/as/stype/ex/,12,4
/dictionary/body/p/nmorph/plu/it/,1,1
/dictionary/body/p/cd/er/,4,4
/dictionary/body/p/def/as/contr/,4,4
/dictionary/body/p/cs/cd/abbr/,8,8
/dictionary/body/p/q/er/,4,4
/dictionary/body/p/cs/mcol/,1078,23
/dictionary/body/p/cs/cd/xex/,3142,2546
/dictionary/body/p/ety/ets/gen/,1,1
/dictionary/body/p/cs/mark/i/,2,2
/dictionary/body/p/pre/table/er/,6,5
/dictionary/body/p/note/q/br/,25,25
/dictionary/body/p/def/person/etsep/,192,167
/dictionary/body/p/hw/,124352,106104
/dictionary/body/p/def/as/altname/,14,13
/dictionary/body/p/q/publ/,2,2
/dictionary/body/p/au/,2617,1236
/dictionary/body/p/plu/plw/pr/,6,5
/dictionary/body/p/def/subclass/,28,21
/dictionary/body/p/vmorph/ets/,4,4
/dictionary/body/p/mhw/vmorph/conjf/,2,2
/dictionary/body/p/def/as/universbold/,7,6
